Respondent_ID,Q1_Age_Group,Q2_Gender,Q3_Nationality,Q4_Duration_UAE,Q5_Employment,Q6_Income_AED,Q7_Education,Q8_Insurance,Q9_Visit_Frequency,Q11_Preferred_Language,Q14_Prior_Telemedicine,Q18_Consultation_Mode,Q19_Willingness_to_Pay,Q20_Pricing_Model,Q25_Interest,Q1_Age_Group_Encoded,Q4_Duration_UAE_Encoded,Q6_Income_AED_Encoded,Q7_Education_Encoded,Q9_Visit_Frequency_Encoded,Q14_Prior_Telemedicine_Encoded,Q19_Willingness_to_Pay_Encoded,Q25_Interest_Encoded,Q12_Satisfaction,Q15_Digital_Comfort,Q17_Language_Importance,Q23_Recommend_Likelihood,Q13_Monthly_Spend_AED,Q13_Spend_Log,Q13_Outlier_Flag,Q25_Binary,Q10_Difficulty_finding_specialists,Q10_Difficulty_with_medical_records,Q10_Difficulty_with_prescriptions,Q10_High_out-of-pocket_costs,Q10_Inconvenient_locations_hours,Q10_Lack_of_insurance_knowledge,Q10_Lack_of_trust_with_providers,Q10_Language_barriers,Q10_Limited_mental_health_services,Q10_Long_waiting_times,Q10_No_challenges,Q16_AI_symptom_checker_triage,Q16_Doctor_clinic_reviews_and_ratings,Q16_E-prescriptions_and_medication_delivery,Q16_Emergency_helpline_and_hospital_locator,Q16_Health_record_management,Q16_Health_tips_for_expat_lifestyle,Q16_Insurance_compatibility_checker,Q16_Lab_test_booking_and_home_collection,Q16_Mental_health_and_counseling,Q16_Specialist_referrals_and_booking,Q16_Virtual_consultations_in_preferred_language,Q21_Data_privacy_security,Q21_Insurance_coverage_uncertainty,Q21_Lack_of_physical_examination,Q21_No_concerns,Q21_Prefer_in-person_only,Q21_Quality_of_virtual_diagnosis,Q21_Technology_issues,Q22_Data_encryption_privacy,Q22_Friend_employer_recommendation,Q22_Hospital_affiliation,Q22_Licensed_verified_doctors,Q22_Positive_user_reviews,Q11_Preferred_Language_Arabic,Q11_Preferred_Language_English,Q11_Preferred_Language_Hindi/Urdu,Q11_Preferred_Language_Malayalam,Q11_Preferred_Language_Other,Q11_Preferred_Language_Tagalog/Filipino,Q18_Consultation_Mode_No preference,Q18_Consultation_Mode_Text-based chat,Q18_Consultation_Mode_Video call,Q18_Consultation_Mode_Voice call,Q20_Pricing_Model_Flat subscription,Q20_Pricing_Model_Free with ads,Q20_Pricing_Model_Freemium,Q20_Pricing_Model_Pay-per-consultation,Q2_Gender_Female,Q2_Gender_Male,Q2_Gender_Prefer not to say,Q3_Nationality_African,Q3_Nationality_Arab (non-UAE),Q3_Nationality_Other,Q3_Nationality_South Asian,Q3_Nationality_Southeast Asian,Q3_Nationality_Western,Q5_Employment_Dependent/Homemaker,Q5_Employment_Employed full-time,Q5_Employment_Employed part-time,Q5_Employment_Self-employed/Freelancer,Q5_Employment_Student,Q5_Employment_Unemployed/Job seeker,Q8_Insurance_No - uninsured,Q8_Insurance_Yes - employer provided,Q8_Insurance_Yes - purchased individually,Q24_Open_Response
R0001,25-34,Male,Southeast Asian,5-10 years,Self-employed/Freelancer,"10,001-20,000",Bachelor's degree,Yes - employer provided,Rarely (0-1),English,"Yes, regularly",No preference,AED 31-60,Freemium,Maybe,2,4,3,3,1,4,3,1,3,3,4,2,60,4.110873864173311,Normal,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,Pharmacy price comparison tool
R0002,55+,Male,Western,1-3 years,Self-employed/Freelancer,"10,001-20,000",High school or below,Yes - employer provided,Rarely (0-1),English,"No, but aware",No preference,More than AED 150,Freemium,Yes,5,2,3,1,1,2,6,2,3,3,2,2,470,6.154858094016418,Normal,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,Multilingual mental health counselors
R0003,35-44,Female,Western,10+ years,Employed full-time,"5,000-10,000",Diploma/Vocational,Yes - employer provided,Occasionally (2-4),English,"No, never heard",Video call,Up to AED 30,Pay-per-consultation,Maybe,3,5,2,2,2,1,2,1,4,4,3,3,230,5.442417710521793,Normal,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,Chronic disease management module
R0004,35-44,Male,South Asian,5-10 years,Dependent/Homemaker,"20,001-35,000",Master's degree or above,Yes - employer provided,Rarely (0-1),English,"No, but aware",Video call,Free only,Pay-per-consultation,Maybe,3,4,4,4,1,2,1,1,4,4,3,4,200,5.303304908059076,Normal,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,
R0005,25-34,Male,South Asian,1-3 years,Employed part-time,"5,000-10,000",Bachelor's degree,No - uninsured,Frequently (9+),Malayalam,"Yes, once or twice",No preference,Up to AED 30,Freemium,Yes,2,2,2,3,4,3,2,2,2,5,5,3,970,6.878326468291325,Normal,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,Pharmacy price comparison tool
R0006,25-34,Female,South Asian,10+ years,Employed full-time,"35,001-50,000",Master's degree or above,No - uninsured,Rarely (0-1),Malayalam,"No, but aware",Video call,AED 61-100,Freemium,Yes,2,5,5,4,1,2,4,2,3,4,4,2,620,6.431331081933479,Normal,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,Integration with DHA medical records
R0007,18-24,Male,South Asian,3-5 years,Unemployed/Job seeker,"Below 5,000",Bachelor's degree,No - uninsured,Occasionally (2-4),Hindi/Urdu,"Yes, once or twice",Text-based chat,Up to AED 30,Freemium,No,1,3,1,3,2,3,2,0,3,4,4,3,300,5.707110264748875,Normal,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Integration with DHA medical records
R0008,45-54,Female,South Asian,<1 year,Employed full-time,"20,001-35,000",Master's degree or above,Yes - employer provided,Rarely (0-1),Hindi/Urdu,"Yes, once or twice",Video call,AED 61-100,Flat subscription,No,4,1,4,4,1,3,4,0,2,3,5,2,7350,8.902591637374087,High_spender,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Pharmacy price comparison tool
R0009,35-44,Male,Arab (non-UAE),5-10 years,Self-employed/Freelancer,"35,001-50,000",Bachelor's degree,Yes - purchased individually,Occasionally (2-4),Other,"Yes, once or twice",Text-based chat,AED 61-100,Freemium,No,3,4,5,3,2,3,4,0,4,3,4,4,1230,7.115582126184454,Normal,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,
R0010,35-44,Male,South Asian,1-3 years,Employed full-time,"20,001-35,000",Master's degree or above,No - uninsured,Occasionally (2-4),Malayalam,"Yes, once or twice",Text-based chat,AED 61-100,Freemium,No,3,2,4,4,2,3,4,0,3,5,3,3,3910,8.271548374755515,High_spender,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,Dental care referrals
